Postcode,HealthBoard
AB1 1DP,S08000020
AB1 1DQ,S08000020
AB1 1DR,S08000020
AB1 1EL,S08000020
AB1 1EN,S08000020
AB1 1EP,S08000020
AB1 1EQ,S08000020
AB1 1ER,S08000020
AB1 1HB,S08000020
AB1 1HD,S08000020
AB1 1HE,S08000020
AB1 1HF,S08000020
AB1 1HG,S08000020
AB1 0TN,S08000020
AB1 0TP,S08000020
AB1 0TQ,S08000020
AB1 0TR,S08000020
AB1 0TS,S08000020
AB1 0WA,S08000020
AB1 0WB,S08000020
AB1 0WD,S08000020
AB1 0WE,S08000020
AB1 0WF,S08000020
AB1 1AB,S08000020
AB1 1AD,S08000020
AB1 1AE,S08000020
AB1 1AG,S08000020
AB1 1AH,S08000020
AB1 1BL,S08000020
AB1 1BN,S08000020
AB1 1BP,S08000020
AB1 1BQ,S08000020
AB1 1BR,S08000020
AB1 1DB,S08000020
AB1 1DD,S08000020
AB1 1DE,S08000020
AB1 1DE,S08000020
AB1 1DF,S08000020
AB1 1DY,S08000020
AB1 1DZ,S08000020
AB1 1EA,S08000020
AB1 1EB,S08000020
AB1 1ED,S08000020
AB1 1EY,S08000020
AB1 1EZ,S08000020
AB1 1FA,S08000020
AB1 1FB,S08000020
AB1 1FD,S08000020
AB1 1HQ,S08000020
AB1 1HR,S08000020
AB1 1HS,S08000020
AB1 1HT,S08000020
AB1 1HU,S08000020
AB1 1JA,S08000020
AB1 1JB,S08000020
AB1 1JD,S08000020
AB1 1JE,S08000020
AB1 1JF,S08000020
AB1 1DS,S08000020
AB1 1DT,S08000020
AB1 1DU,S08000020
AB1 1DW,S08000020
AB1 1DX,S08000020
AB1 1ES,S08000020
AB1 1ET,S08000020
AB1 1EU,S08000020
AB1 1EW,S08000020
AB1 1EX,S08000020
AB1 1HH,S08000020
AB1 1HJ,S08000020
AB1 1HL,S08000020
AB1 1HN,S08000020
AB1 1HP,S08000020
AB1 1JG,S08000020
AB1 1JH,S08000020
AB1 1JJ,S08000020
AB1 1JL,S08000020
AB1 1JN,S08000020
AB1 1LB,S08000020
AB1 1LD,S08000020
AB1 1LD,S08000020
AB1 1LE,S08000020
AB1 1LF,S08000020
AB1 1LW,S08000020
AB1 1LX,S08000020
AB1 1LY,S08000020
AB1 1LZ,S08000020
AB1 1NA,S08000020
AB1 1NX,S08000020
AB1 1NY,S08000020
AB1 1PB,S08000020
AB1 1PD,S08000020
AB1 1PE,S08000020
AB1 1DF,S08000020
AB1 1DG,S08000020
AB1 1DH,S08000020
